Year,"Population, total",Population growth (annual %),Surface area (sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any method (% of married women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)",Agricultural land (% of land area),"Birth rate, crude (per 1,000 people)",Current account balance (% of GDP),Current health expenditure (% of GDP),Expense (% of GDP),GDP per capita growth (annual %),GNI growth (annual %),Rural population (% of total population),"Unemployment, total (% of total labor force) (national estimate)"
1990,61558898,2.352971109,300000,..,51230095113,830,1.61492E+11,2620,..,65.909,4.352,55.165,..,..,56.6,29.9,85,89.34030151,72.01377106,0.997690022,0.1,77788.1,..,466.3674616,0.663899149,363.0181944,50508286642,3.082672529,12.95683835,19.15984289,38.1686201,19.39321314,23.52914314,23.33171058,14.18410256,..,..,2.147246667,0,..,41.81690056,87.36842105,30579850827,7.213704459,-149089,5000000,530000000,18.5690453,820.4871803,-530000000,12.17735221,37.36123688,33.265,-5.335758109,..,14.70719856,0.685480245,4.854966978,53.014,8.13
1991,63039751,2.377108809,300000,34.4,52541637979,830,1.68033E+11,2670,..,66.304,4.319,56.102,..,..,53.3,..,83,..,71.57067871,..,0.1,77318.55,..,454.7563013,0.641534894,356.4893523,51784144315,-0.436390081,16.39511964,18.33846147,37.66120382,20.96514118,23.2547826,19.71709251,14.99855041,..,..,2.010721068,0.054886004,..,41.83326825,93.40659341,32493338656,6.588774394,-198673,9000000,544000000,15.06541437,821.4522344,-544000000,19.26145853,37.41825133,33.177,-1.99675019,..,14.0269824,-2.77521706,0.71502131,53.099,10.6
1992,64543525,2.357430676,300000,..,57385250801,890,1.74958E+11,2710,..,67.088,4.242,55.38,..,..,50.4,29.8,81,..,73.00016785,..,0.1,76849,..,464.3661157,0.678669162,337.7410825,60422329032,0.417629066,7.881863811,19.10732173,36.45778845,20.77966454,24.21147819,20.74833124,15.48415557,..,..,2.03646157,0.086831328,..,41.78587685,79.20792079,33219038810,7.055634527,-179039,8000000,228000000,25.3542079,936.1485762,-228000000,8.651003579,37.27739209,32.734,-1.655017302,..,14.20697806,-1.921961462,1.878238711,53.185,9.87
1993,66083321,2.357658279,300000,..,62187458725,940,1.83955E+11,2780,..,67.542,4.148,54.868,40,52.8,47.9,26.3,78,..,74.97154236,..,0.1,76379.45,..,453.2068387,0.719968356,338.0732031,62036529910,2.181889986,6.809621987,18.9079535,36.29881021,22.30313037,28.16191255,23.1855368,15.28612755,..,..,2.15753564,0.154955895,..,48.06361678,77.66990291,36142381235,7.81403283,-169227,45000000,1238000000,21.03541324,938.7622924,-864000000,6.716311041,37.10970252,32.108,-4.861651682,..,13.94199302,-0.199032509,2.715360486,53.27,9.29
1994,67650283,2.343515269,300000,40.6,71572076210,1060,1.9811E+11,2930,..,67.942,4.072,53.364,..,..,45.7,..,75,..,76.08998108,..,0.1,75909.9,..,474.4093532,0.757868227,380.4418675,73159337838,4.373665918,10.06023051,19.26003585,36.16371249,24.07566586,28.45083795,23.31145265,15.80783052,..,..,2.172446587,0.254105367,..,49.13248406,77.88461538,40253267304,6.192704637,-147940,89000000,1591000000,14.91228067,1081.434321,-1289000000,10.38647343,36.94201295,31.551,-4.03229456,..,..,1.956091874,5.50084063,53.355,9.48
1995,69250468,2.337836526,300000,..,81264040813,1170,2.12082E+11,3060,..,68.223,4.042,51.728,50.7,..,43.7,..,72,..,77.40695953,..,0.1,75440.35,..,485.5102351,0.886850324,401.8889807,84644329825,4.625225117,7.642303855,18.92514588,35.66459994,25.94604166,31.38451631,21.79429508,15.50149369,..,..,2.294131535,0.713153303,..,54.15956402,80.1980198,39374934205,6.166747443,-143386,151000000,1478000000,12.38359873,1222.292531,-1079000000,6.83199611,36.94201295,31.288,-2.339199807,..,..,2.20762823,4.852148222,53.44,9.53
1996,70944969,2.417458883,300000,..,94261501229,1330,2.30212E+11,3240,..,68.614,3.967,50.141,48.1,..,42.1,..,76,..,76.39302826,..,0.1,74970.8,..,490.1120614,0.942981595,431.3061297,94648084429,5.860347872,7.688965478,18.0136454,35.66402929,28.88672137,34.96858218,23.2823367,16.29063015,..,85.20894056,2.268407676,1.351785776,..,57.61764787,81.13207547,43997124268,5.484379208,5539,57000000,1517000000,12.13489815,1334.105656,-1335000000,7.476103778,37.24385418,30.682,-4.17652404,..,..,3.331902686,6.560554424,53.525,8.56
1997,72718837,2.469596489,300000,36.8,1.01714E+11,1400,2.49916E+11,3440,..,68.884,3.899,50.409,47,..,40.7,..,79,..,76.10218048,..,0.1,74501.25,..,503.2203417,1.023775999,464.2538494,94106316501,5.186411674,6.259815756,16.44910207,35.66066827,35.08614574,42.14250018,24.06448803,16.61069936,..,33.32464936,1.914461376,1.847691816,..,67.48112386,82.40740741,50702236609,4.61026476,-3109,..,1222000000,8.6750566,1294.111958,-1086000000,5.590259397,38.01522621,30.166,-4.623494109,..,..,2.620545423,6.713612846,53.61,8.78
1998,74491918,2.409017939,300000,..,98150790636,1320,2.72946E+11,3660,..,69.1,3.848,51.661,47.8,56.4,39.5,28.3,80,84.70333099,74.73873901,1.024009943,0.1,74031.7,..,505.3709585,0.991653887,479.6359251,74492416330,-0.5140906,10.40567036,14.74667331,34.88316508,37.8068684,42.27033312,19.98891564,15.11386839,..,47.38340054,1.69729338,2.327302138,..,81.76671264,87.38738739,53593376356,5.600464027,-24139,..,2287000000,7.956835944,1000.00669,-2127000000,9.234934323,37.84753664,29.776,2.075379047,..,..,-2.882086759,8.42082808,53.695,10.25
1999,76249064,2.331450372,300000,..,95614802700,1250,2.84592E+11,3730,..,69.298,3.788,52.645,49.3,58,38.5,..,80,86.46980286,74.40067291,1.028749943,0.1,73562.15,..,506.8072573,0.939305957,467.9139406,85640170315,3.346451184,6.33463973,15.19435542,33.55070825,38.41115874,38.75033498,16.20065404,14.16025851,..,49.25006553,1.615775846,3.737724571,..,80.73781234,102.8846154,58470127808,6.07809036,-59467,25000000,1829000000,8.689286832,1123.163562,-1114000000,5.939049018,37.67984707,29.318,-3.357069456,..,..,0.964850758,2.93901505,53.78,9.81
